"","hu4_zoneid","openwater2001_pct","developed_open2001_pct","developed_low2001_pct","developed_med2001_pct","developed_high2001_pct","barerock2001_pct","deciduous2001_pct","evergreen2001_pct","mixedforest2001_pct","scrubshrub2001_pct","grasslands_herbaceous2001_pct","pasture_hay2001_pct","rowcrops2001_pct","topo_rough_index_mean","topo_rough_index_max","roaddensity_mperha","streamdensity_mperha","lakes_overlapping_area_pct","wetlands_overlapping_area_pct","baseflow_mean","runoff_mean","groundwater_recharge","so4dep_1990_mean","so4dep_2010_mean","totalNdep_1990_mean","totalNdep_2010_mean","no3dep_1990_mean","no3dep_2010_mean","prism_ppt_mean","prism_tmean_mean","prism_tmax_mean","prism_tmin_mean","alluvial_pct","colluvial_pct","glaciofluvial_pct","till_loam_pct","till_sand_pct","till_clay_pct","so4dep_19902010_diff","totalNdep_19902010_diff","no3dep_19902010_diff"
"39","HU4_47",1.8018,8.5031,3.3036,1.036,0.4784,0.1008,58.1797,0.934,0.1049,0.2697,1.5579,13.6128,9.4185,1.3915,42.183,36.5012,14.2648,0.7627,NA,33.5777,15.9016,133.9451,36.0961,10.8768,7.1045,3.5112,19.487,7.8373,1043.7709,10.5561,16.518,4.5893,4.4953,65.5844,1.7157,14.4349,0,6.1594,25.2193,3.5933,11.6497
"40","HU4_48",1.5812,7.0243,3.5207,1.3857,0.4674,0.1647,47.2364,1.8848,0.5705,0.766,2.5468,15.4343,17.299,1.1492,192.755,29.3709,15.2661,0.2183,NA,24.5138,15.2388,93.093,32.2973,10.2386,6.5078,3.7053,16.8797,8.0699,1079.9509,11.9708,17.9505,5.9861,4.6824,51.1529,0.909,37.2693,0,0,22.0587,2.8025,8.8098
"41","HU4_49",2.9938,5.4969,1.8988,0.7489,0.357,0.1288,39.3351,1.8345,0.1184,0.0673,1.6352,17.0132,26.7203,0.6345,21.0598,23.9346,13.913,0.3251,NA,18.9882,16.5904,82.2924,28.2726,9.7142,6.0488,3.8893,14.7715,7.8761,1183.1917,13.4058,19.2641,7.5425,5.3748,49.6534,5.1302,7.5583,0,0,18.5584,2.1595,6.8954
"42","HU4_5",6.4441,2.3516,1.0269,0.3594,0.0966,0.1043,38.2447,13.9457,9.169,2.8795,1.1244,10.1096,3.8962,0.8152,36.6524,13.5272,13.5985,4.8328,6.985,51.6708,23.3406,305.6977,23.6812,7.0095,6.282,3.1164,18.0406,6.5602,1101.0326,6.1525,11.8183,0.4816,0.3715,0,0.8958,18.3982,39.5963,0,16.6717,3.1656,11.4804
"43","HU4_50",1.3308,3.764,3.4968,0.8042,0.2188,0.0379,13.4105,0.0153,0.0015,0,0.247,5.766,69.4839,0.2912,26.86,24.7572,13.5025,0.8548,1.6829,30.7663,8.9215,69.052,24.5064,11.5463,7.1757,5.419,15.4681,10.0943,965.9924,11.0616,16.7519,5.3662,7.0905,0,3.8544,67.6328,0,11.8703,12.9601,1.7567,5.3738
"44","HU4_51",2.0602,5.2816,3.5341,0.8459,0.3164,0.1291,34.9665,1.1979,1.2583,0.1246,1.2319,17.9513,29.395,0.5354,59.05,25.5017,14.2464,0.9715,3.3882,19.885,10.6999,53.2721,23.0861,9.7944,5.8841,4.0181,13.6833,8.0219,1106.8237,12.9824,18.8953,7.0646,12.6927,2.257,1.747,41.004,0,0,13.2917,1.866,5.6614
"45","HU4_52",21.4106,2.2708,0.4962,0.4996,0.3042,0.3088,7.609,0.1658,0.1142,0.8981,0.2523,1.4071,39.0148,0.2108,14.0128,11.1606,7.6911,1.7666,NA,31.3623,18.8481,147.9745,22.0454,7.6583,5.6106,3.1513,13.4797,6.574,1282.6509,15.3946,21.0213,9.763,56.0099,0,0.06,0,0,0,14.3871,2.4593,6.9057
"46","HU4_53",3.0199,4.8005,1.1919,0.4597,0.189,0.0984,2.7554,0.046,0.0188,0.2504,4.3767,5.6993,72.1585,0.2102,23.1541,22.0986,8.2909,2.429,NA,43.8293,3.3408,38.0084,7.3613,5.7697,4.9226,6.1502,8.2495,7.8473,712.4655,6.8874,12.5347,1.2351,2.0835,0,16.3759,76.9423,0,0,1.5916,-1.2276,0.4022
"47","HU4_54",5.3102,3.7431,0.6394,0.136,0.0499,0.021,9.8909,0.7874,0.0411,0.4163,1.1301,6.3003,55.3345,0.16,10.8873,16.1547,6.6374,4.5866,NA,40.7452,2.8033,29.0816,3.9824,4.2604,2.6835,4.1702,4.6161,5.9565,606.6129,4.5836,10.4068,-1.2445,3.6168,0.007,5.8236,34.4056,0,9.694,-0.278,-1.4867,-1.3404
"48","HU4_55",2.1724,4.3934,1.7509,0.4805,0.1487,0.036,25.725,1.4023,0.6737,0.9357,6.3779,11.5395,40.809,0.707,28.1506,20.3176,12.0785,1.227,6.8297,58.3755,7.2626,105.4804,13.0633,6.9499,6.2456,5.4091,11.5008,8.532,850.4951,7.0914,12.6981,1.4797,3.7172,38.0835,13.3219,40.6759,0,2.1505,6.1134,0.8365,2.9688
"49","HU4_56",1.2378,5.2308,1.4705,0.3525,0.1166,0.0565,7.9331,0.0423,0.2478,0.2546,2.5751,12.2674,66.6272,0.3648,39.5737,20.0339,9.6868,0.6749,1.4998,40.0772,5.7013,53.995,12.4105,8.632,6.1243,6.7635,11.1249,9.969,867.1776,8.9783,14.6759,3.2757,3.2594,1.2819,7.1617,87.5201,0,0,3.7785,-0.6392,1.1559
"50","HU4_57",1.1088,5.7572,2.0289,0.5073,0.1782,0.0481,5.4346,0.0373,0.0113,0.0676,5.1018,7.5464,69.6898,0.322,20.4929,21.1096,12.1087,0.2416,2.2084,39.1048,7.7396,74.8056,17.6528,9.7233,7.2923,6.3165,13.9161,10.2117,913.1328,9.1413,14.7306,3.5469,9.4252,0.4327,6.9115,78.9753,0,0,7.9295,0.9758,3.7044
"51","HU4_58",0.8087,5.4548,0.9134,0.4457,0.1387,0.0681,1.3808,0.0011,0.0696,0.0318,6.3353,8.9108,74.0399,0.281,24.1289,21.1847,12.7812,0.3022,NA,35.0045,1.6702,14.6414,6.3227,5.9445,4.514,6.584,7.4908,8.1396,697.3217,7.5592,13.5353,1.578,7.1454,0.4935,12.6384,77.7759,0,0,0.378200000000001,-2.07,-0.6488
"52","HU4_59",2.5394,4.068,1.4505,0.2237,0.0578,0.0427,18.357,0.2561,0.0121,0.1415,6.0364,19.0408,46.1608,0.8059,27.8833,16.6403,14.6574,0.4656,1.7426,53.5557,8.6298,116.9246,15.3202,9.0899,6.652,6.1774,12.5069,9.9965,906.6399,8.1347,13.6726,2.5917,5.2484,42.6183,0.2798,39.1241,0,8.5431,6.2303,0.474600000000001,2.5104
"53","HU4_6",4.316,2.2407,1.2511,0.4747,0.1515,0.3477,28.0377,22.3051,28.895,3.6188,0.5224,2.3101,0.6316,1.0683,25.5366,13.8172,9.7308,3.9994,4.6748,49.9942,26.9537,339.8371,20.6559,6.4633,5.1774,2.5117,15.0679,6.0547,1218.6781,5.0378,10.7365,-0.6659,0.1301,0,4.3583,0.6309,79.7909,0,14.1926,2.6657,9.0132
"54","HU4_60",1.9099,3.9046,2.0402,0.5807,0.1665,0.086,20.5218,0.0759,0.1493,0.785,1.0989,27.1115,38.4065,0.4311,19.7492,22.1317,14.7435,0.4923,3.1401,14.181,8.397,29.4082,17.7719,12.262,5.782,6.1721,12.3973,11.1309,1014.5344,11.8677,17.5866,6.1438,17.9822,0,0.1676,63.0844,0,0,5.5099,-0.3901,1.2664
"55","HU4_61",0.9468,5.6535,2.1229,0.7033,0.3086,0.0258,2.8399,0.0462,0.2056,0.0569,7.3554,4.7082,73.7103,0.4763,17.096,21.6025,12.4995,0.5749,NA,45.4145,3.9262,44.5353,8.8344,6.4105,5.4287,6.1921,9.2966,8.0791,777.634,8.8699,14.7777,2.9572,15.916,1.6868,6.6272,73.9038,0,0,2.4239,-0.7634,1.2175
"56","HU4_62",1.1081,3.7308,1.0686,0.0808,0.017,0.0589,16.8673,0.0672,0.6262,0.7414,1.9638,45.4665,25.9529,0.5637,12.0062,16.817,18.1178,0.5268,2.8283,17.0006,7.8921,33.2026,14.6334,10.3751,5.9912,6.5191,11.7629,10.831,991.3312,10.9742,16.8377,5.1056,19.1942,0,0,72.0316,0,0,4.2583,-0.5279,0.931900000000001
"57","HU4_63",0.9495,5.0231,1.6845,0.3148,0.1181,0.0323,7.4008,0.0278,0.0357,0.2195,3.097,19.0797,60.7099,0.5685,43.115,20.5171,15.1748,0.2892,NA,30.5566,6.5801,48.19,11.1214,7.7959,5.5836,5.8904,10.3088,8.7223,899.1031,10.7581,16.7047,4.8065,17.7172,1.756,0,72.4203,0,0,3.3255,-0.3068,1.5865
"58","HU4_64",1.4768,5.4502,3.7327,1.0996,0.4682,0.1916,26.6654,0.6508,0.4776,0.4137,1.2859,29.4749,26.8017,0.6008,26.7324,27.0454,15.5826,0.2359,NA,14.7993,8.4705,31.3574,16.9239,10.4742,5.8151,5.3593,12.7856,9.6904,1074.9712,12.5481,18.4175,6.6737,19.0743,0,0,17.2597,0,0,6.4497,0.4558,3.0952
"59","HU4_65",1.9672,4.2661,1.0501,0.1861,0.0549,0.1083,37.5153,1.5445,0.9171,0.5226,1.7853,37.9679,10.1936,0.5918,19.4369,21.813,15.9984,1.5223,NA,25.6707,10.0378,65.7108,18.002,9.2975,6.0776,4.5053,13.3383,8.4599,1123.9496,13.0604,19.1662,6.9496,12.9914,0,0,0,0,0,8.7045,1.5723,4.8784
"60","HU4_66",1.2354,4.8188,1.0049,0.2891,0.0962,0.0592,15.1012,0.4724,1.0842,0.0297,0.3072,5.401,65.2458,0.2719,16.3132,27.5187,16.041,0.5329,NA,32.1687,17.3597,140.8967,21.6947,7.4777,5.6505,3.1397,13.4342,6.5373,1233.5538,14.9619,20.7835,9.1353,73.021,2.4689,3.9683,0,0,0,14.217,2.5108,6.8969
"61","HU4_67",1.5808,3.8432,0.8848,0.2397,0.0767,0.1255,53.8706,4.0875,3.8729,0.2786,1.4679,23.7579,4.5492,1.0067,46.6153,28.4262,14.892,1.3837,NA,42.0474,13.9289,148.666,19.6895,7.3118,5.9211,3.326,13.2415,6.7361,1185.7592,13.864,20.2355,7.4875,12.6586,6.6971,0.5799,0,0,0,12.3777,2.5951,6.5054
"62","HU4_68",1.8457,5.3365,1.859,0.4274,0.2072,0.2792,25.4579,0.172,0.055,0.2658,1.3097,47.7986,13.4047,0.4767,16.8157,30.2298,15.2897,1.5402,NA,44.786,10.1867,114.949,17.4317,7.5593,6.3301,3.794,13.3065,7.0522,1154.3722,13.9783,20.1456,7.8061,13.3157,0.3815,0,0,0,0,9.8724,2.5361,6.2543
"63","HU4_7",2.066,4.6922,2.8789,1.3799,0.291,0.1895,38.4538,17.0628,20.6335,1.589,0.2309,4.8973,1.728,1.0987,82.0443,22.6925,13.2456,1.4905,3.7586,47.925,24.1792,292.401,23.6,7.0426,5.8813,2.8731,17.209,6.798,1205.8622,6.8017,12.6466,0.9519,1.8414,0,0.246,0.6959,82.5263,0,16.5574,3.0082,10.411
"64","HU4_8",16.4384,4.9616,2.7886,0.9614,0.3789,0.5404,14.9584,15.9783,28.2541,2.6344,0.4087,3.8857,0.8483,0.7489,27.5397,22.3101,9.9529,3.2167,7.4455,53.7978,25.0599,343.2651,20.8376,7.4319,5.1076,2.8177,15.0511,6.8925,1215.8701,7.2854,12.6022,1.4604,0.1488,0,2.9367,0,55.7495,0,13.4057,2.2899,8.1586
"65","HU4_9",4.4068,5.3652,5.1487,3.6468,0.8526,0.352,28.7676,18.9719,20.1267,1.5016,0.2932,4.1086,0.7438,0.8561,25.7759,31.0197,10.3853,4.0285,5.5329,52.6247,22.591,299.7523,21.8312,6.8565,5.3417,2.7324,15.832,6.603,1209.175,7.6787,13.5381,1.8144,0.567,0,4.9875,0,71.688,0,14.9747,2.6093,9.229
